id_num,county_desc,race,ethnicity,gender,age,voter_city,voter_state,voter_zip,voter_party_code,precinct_desc,ballot_req_type,ballot_request_party,ballot_req_dt,ballot_send_dt,ballot_rtn_dt,ballot_rtn_status
217639,JOHNSTON,UNDESIGNATED,UNDESIGNATED,U,34,CLAYTON,NC,27527.0,REP,FLOWERS PLANTATION,MAIL,REP,10/18/24,10/21/24, ,SPOILED-EV
460368,WAYNE,WHITE,NOT HISPANIC or NOT LATINO,F,69,LAGRANGE,NC,28551.0,DEM,15,MAIL,DEM,8/18/24,9/24/24,10/21/24,ACCEPTED
25570,BUNCOMBE,UNDESIGNATED,UNDESIGNATED,U,21,ASHEVILLE,NC,28804.0,DEM,28.1,MAIL,DEM,10/7/24,10/10/24,10/28/24,ACCEPTED
243475,MECKLENBURG,WHITE,NOT HISPANIC or NOT LATINO,F,53,CHARLOTTE,NC,28204.0,UNA,PCT 002,MAIL,UNA,9/14/24,9/24/24,11/2/24,ACCEPTED
325781,ORANGE,ASIAN,NOT HISPANIC or NOT LATINO,M,74,HILLSBOROUGH,NC,27278.0,DEM,ENO,MAIL,UNA,9/16/24,9/24/24,10/29/24,ACCEPTED
2196,ALAMANCE,WHITE,UNDESIGNATED,M,55,BURLINGTON,NC,27217.0,UNA,FAUCETTE,MAIL,UNA,10/7/24,10/9/24, ,SPOILED-EV
58496,CALDWELL,WHITE,NOT HISPANIC or NOT LATINO,M,65,LENOIR,NC,28645.0,REP,COLLETTSVILLE,MAIL,REP,8/17/24,9/24/24,10/24/24,ACCEPTED
63658,CATAWBA,WHITE,NOT HISPANIC or NOT LATINO,M,19,NEWTON,NC,28658.0,REP,STARTOWN,MAIL,REP,10/9/24,10/9/24,11/1/24,ACCEPTED
385635,WAKE,WHITE,UNDESIGNATED,F,32,RALEIGH,NC,27612.0,DEM,PRECINCT 07-10,MAIL,DEM,10/14/24,10/15/24,10/25/24,ACCEPTED
445729,WAKE,WHITE,NOT HISPANIC or NOT LATINO,F,31,RALEIGH,NC,27609.0,DEM,PRECINCT 01-36,MAIL,DEM,2/7/24,9/24/24, ,SPOILED-EV
162536,GUILFORD,BLACK or AFRICAN AMERICAN,NOT HISPANIC or NOT LATINO,F,63,HIGH POINT,NC,27260.0,DEM,H09,MAIL,DEM,9/24/24,9/24/24,10/3/24,ACCEPTED
355540,ROWAN,WHITE,UNDESIGNATED,M,77,CHINA GROVE,NC,28023.0,REP,BOSTIAN SCHOOL,MAIL,REP,10/10/24,10/11/24,10/31/24,ACCEPTED
112772,DURHAM,UNDESIGNATED,UNDESIGNATED,M,38,DURHAM,NC,27707.0,DEM,56,MAIL,DEM,9/4/24,9/20/24,10/29/24,ACCEPTED
139772,FORSYTH,WHITE,NOT HISPANIC or NOT LATINO,F,21,WINSTON SALEM,NC,27104.0,UNA,701,MAIL,UNA,10/2/24,10/3/24,11/4/24,ACCEPTED
98154,DARE,WHITE,UNDESIGNATED,M,83,SOUTHERN SHORES,NC,27949.0,UNA,SOUTHERN SHORES,MAIL,UNA,8/2/24,9/20/24, ,SPOILED-EV
145558,FORSYTH,WHITE,UNDESIGNATED,F,40,WINSTON SALEM,NC,27101.0,DEM,902,MAIL,DEM,8/22/24,9/24/24, , 
257426,MECKLENBURG,WHITE,NOT HISPANIC or NOT LATINO,M,55,HUNTERSVILLE,NC,28078.0,REP,PCT 134,MAIL,REP,10/9/24,10/9/24,10/31/24,ACCEPTED
459748,WAYNE,WHITE,NOT HISPANIC or NOT LATINO,M,65,GOLDSBORO,NC,27530.0,DEM,05,MAIL,DEM,8/25/24,9/24/24,10/21/24,ACCEPTED
44855,BURKE,UNDESIGNATED,UNDESIGNATED,U,19,MORGANTON,NC,28655.0,UNA,QUAKER MEADOWS #1-B,MAIL,UNA,10/23/24,10/24/24,11/5/24,ACCEPTED
400187,WAKE,WHITE,NOT HISPANIC or NOT LATINO,F,26,RALEIGH,NC,27617.0,DEM,PRECINCT 05-05,MAIL,DEM,9/29/24,10/2/24,10/31/24,ACCEPTED
420957,WAKE,WHITE,NOT HISPANIC or NOT LATINO,F,63,RALEIGH,NC,27616.0,UNA,PRECINCT 13-09,MAIL,UNA,8/4/24,9/24/24,10/24/24,ACCEPTED
177836,GUILFORD,UNDESIGNATED,UNDESIGNATED,F,81,GREENSBORO,NC,27410.0,UNA,CG1,MAIL,UNA,9/19/24,9/24/24,10/24/24,ACCEPTED
385130,WAKE,WHITE,NOT HISPANIC or NOT LATINO,M,39,RALEIGH,NC,27614.0,DEM,PRECINCT 13-11,MAIL,DEM,10/17/24,10/22/24,11/2/24,ACCEPTED
329151,ORANGE,ASIAN,UNDESIGNATED,M,25,CHAPEL HILL,NC,27516.0,UNA,NORTH CARRBORO,MAIL,UNA,8/11/24,9/24/24, ,SPOILED
223785,LINCOLN,WHITE,UNDESIGNATED,F,23,DENVER,NC,28037.0,DEM,WESTPORT,MAIL,DEM,10/10/24,10/11/24,11/5/24,ACCEPTED
319189,ONSLOW,WHITE,NOT HISPANIC or NOT LATINO,F,82,JACKSONVILLE,NC,28540.0,REP,CR07,MAIL,REP,3/12/24,9/24/24,10/10/24,SPOILED-EV
161153,GUILFORD,WHITE,NOT HISPANIC or NOT LATINO,M,94,GREENSBORO,NC,27410.0,REP,G42B,MAIL,REP,10/7/24,10/8/24,10/18/24,ACCEPTED
53393,CABARRUS,BLACK or AFRICAN AMERICAN,UNDESIGNATED,M,34,MIDLAND,NC,28107.0,DEM,Oct-00,MAIL,DEM,9/13/24,9/24/24,10/25/24,ACCEPTED
118624,DURHAM,BLACK or AFRICAN AMERICAN,NOT HISPANIC or NOT LATINO,M,60,DURHAM,NC,27701.0,DEM,17,MAIL,DEM,10/4/24,10/4/24,11/12/24,RETURNED AFTER DEADLINE
59584,CARTERET,WHITE,NOT HISPANIC or NOT LATINO,M,60,GLOUCESTER,NC,28528.0,REP,OTWAY/STRAITS/BETTIE/GLOUCESTE,MAIL,REP,10/10/24,10/11/24,10/24/24,ACCEPTED
423790,WAKE,WHITE,UNDESIGNATED,M,24,CARY,NC,27511.0,UNA,PRECINCT 04-03,MAIL,UNA,9/13/24,9/24/24,10/18/24,ACCEPTED
325857,ORANGE,UNDESIGNATED,UNDESIGNATED,U,21,CHAPEL HILL,NC,27516.0,DEM,DOGWOOD ACRES,MAIL,DEM,10/16/24,10/17/24,10/28/24,ACCEPTED
230798,MECKLENBURG,BLACK or AFRICAN AMERICAN,NOT HISPANIC or NOT LATINO,F,31,CHARLOTTE,NC,28213.0,DEM,PCT 105,MAIL,DEM,8/2/24,9/24/24, ,SPOILED-EV
10426,BEAUFORT,WHITE,UNDESIGNATED,M,21,BATH,NC,27808.0,UNA,SURRY-BATH,MAIL,UNA,9/27/24,9/27/24,10/18/24,ACCEPTED
153544,GASTON,BLACK or AFRICAN AMERICAN,NOT HISPANIC or NOT LATINO,F,56,GASTONIA,NC,28054.0,REP,ROBINSON #2,MAIL,REP,10/20/24,10/24/24,10/31/24,ACCEPTED
146004,FORSYTH,WHITE,NOT HISPANIC or NOT LATINO,F,79,KERNERSVILLE,NC,27284.0,DEM,066,MAIL,DEM,10/12/24,10/14/24,10/28/24,ACCEPTED
107597,DAVIE,OTHER,HISPANIC or LATINO,F,20,MOCKSVILLE,NC,27028.0,DEM,CLARKSVILLE,MAIL,DEM,10/14/24,10/15/24, , 
177512,GUILFORD,WHITE,NOT HISPANIC or NOT LATINO,F,38,HIGH POINT,NC,27262.0,REP,H13,MAIL,REP,10/15/24,10/16/24,10/31/24,ACCEPTED
148633,FRANKLIN,WHITE,UNDESIGNATED,M,26,YOUNGSVILLE,NC,27596.0,UNA,WEST YOUNGSVILLE 1,MAIL,UNA,10/7/24,10/8/24,10/30/24,ACCEPTED
377305,UNION,WHITE,NOT HISPANIC or NOT LATINO,F,52,MONROE,NC,28112.0,UNA,003,MAIL,UNA,10/7/24,10/10/24, ,SPOILED
414159,WAKE,WHITE,NOT HISPANIC or NOT LATINO,M,20,CARY,NC,27513.0,UNA,PRECINCT 04-05,MAIL,UNA,10/16/24,10/18/24, , 
343075,PITT,WHITE,UNDESIGNATED,F,31,WINTERVILLE,NC,28590.0,DEM,GREENVILLE #13A,MAIL,DEM,10/23/24,10/25/24, , 
120772,DURHAM,UNDESIGNATED,NOT HISPANIC or NOT LATINO,F,70,DURHAM,NC,27703.0,REP,31,MAIL,REP,10/7/24,10/9/24, ,SPOILED-EV
211674,JOHNSTON,WHITE,UNDESIGNATED,F,25,CLAYTON,NC,27527.0,REP,FLOWERS PLANTATION,MAIL,REP,10/19/24,10/21/24,11/5/24,ACCEPTED
402417,WAKE,WHITE,UNDESIGNATED,F,40,RALEIGH,NC,27615.0,REP,PRECINCT 01-42,MAIL,REP,10/5/24,10/8/24, , 
414193,WAKE,WHITE,NOT HISPANIC or NOT LATINO,M,68,RALEIGH,NC,27603.0,REP,PRECINCT 15-02,MAIL,REP,9/9/24,9/24/24,10/11/24,ACCEPTED
224863,LINCOLN,WHITE,NOT HISPANIC or NOT LATINO,F,77,LINCOLNTON,NC,28092.0,DEM,STARTOWN,MAIL,DEM,8/28/24,9/24/24,10/7/24,SPOILED
410445,WAKE,WHITE,NOT HISPANIC or NOT LATINO,M,21,RALEIGH,NC,27609.0,UNA,PRECINCT 01-37,MAIL,UNA,10/11/24,10/15/24,11/6/24,RETURNED AFTER DEADLINE
282492,MECKLENBURG,ASIAN,NOT HISPANIC or NOT LATINO,F,31,CHARLOTTE,NC,28208.0,UNA,PCT 081,MAIL,UNA,10/17/24,10/18/24, , 
48611,CABARRUS,WHITE,NOT HISPANIC or NOT LATINO,M,52,KANNAPOLIS,NC,28081.0,REP,13-Apr,MAIL,REP,10/12/24,10/14/24, ,SPOILED-EV
87212,CUMBERLAND,OTHER,HISPANIC or LATINO,M,70,FAYETTEVILLE,NC,28304.0,UNA,CROSS CREEK 15,MAIL,UNA,10/10/24,10/14/24,11/2/24,ACCEPTED
126017,DURHAM,TWO or MORE RACES,NOT HISPANIC or NOT LATINO,F,25,DURHAM,NC,27701.0,DEM,10,MAIL,DEM,9/25/24,9/26/24, ,RETURNED UNDELIVERABLE
426752,WAKE,WHITE,NOT HISPANIC or NOT LATINO,F,77,FUQUAY VARINA,NC,27526.0,REP,PRECINCT 12-07,MAIL,REP,9/17/24,9/24/24,10/11/24,ACCEPTED
322570,ONSLOW,WHITE,UNDESIGNATED,F,76,JACKSONVILLE,NC,28540.0,UNA,WN04,MAIL,UNA,10/26/24,10/29/24, , 
186711,HARNETT,WHITE,NOT HISPANIC or NOT LATINO,M,31,FUQUAY-VARINA,NC,27526.0,DEM,NORTHWEST HARNETT,MAIL,DEM,8/20/24,9/24/24, ,SPOILED-EV
227437,MACON,UNDESIGNATED,UNDESIGNATED,U,40,FRANKLIN,NC,28734.0,DEM,EAST FRANKLIN,MAIL,DEM,8/27/24,9/20/24,11/1/24,ACCEPTED
252943,MECKLENBURG,WHITE,UNDESIGNATED,U,34,CHARLOTTE,NC,28217.0,UNA,PCT 078,MAIL,UNA,7/9/24,9/24/24, ,SPOILED-EV
260125,MECKLENBURG,WHITE,NOT HISPANIC or NOT LATINO,F,30,CHARLOTTE,NC,28204.0,UNA,PCT 109,MAIL,UNA,8/24/24,9/24/24, ,SPOILED-EV
228829,MARTIN,BLACK or AFRICAN AMERICAN,NOT HISPANIC or NOT LATINO,M,66,JAMESVILLE,NC,27846.0,DEM,JAMESVILLE,MAIL,DEM,10/11/24,10/23/24, ,SPOILED-EV
174201,GUILFORD,INDIAN AMERICAN or ALASKA NATIVE,UNDESIGNATED,F,73,BURLINGTON,NC,27215.0,UNA,GR,MAIL,UNA,9/16/24,9/24/24, ,SPOILED-EV
209094,IREDELL,WHITE,NOT HISPANIC or NOT LATINO,F,19,MOORESVILLE,NC,28117.0,UNA,,MAIL,UNA,10/20/24, , , 
318623,ONSLOW,UNDESIGNATED,UNDESIGNATED,U,28,SNEADS FERRY,NC,28460.0,REP,FS16,MAIL,REP,11/4/24,11/5/24, , 
353941,ROWAN,WHITE,NOT HISPANIC or NOT LATINO,F,87,KANNAPOLIS,NC,28081.0,REP,LANDIS,MAIL,REP,9/3/24,9/24/24, ,SPOILED
246350,MECKLENBURG,WHITE,NOT HISPANIC or NOT LATINO,F,24,CHARLOTTE,NC,28210.0,REP,PCT 111,MAIL,REP,10/23/24,10/24/24,11/3/24,PENDING CURE
384855,WAKE,WHITE,UNDESIGNATED,M,49,FUQUAY VARINA,NC,27526.0,UNA,PRECINCT 06-10,MAIL,UNA,9/25/24,9/27/24,10/24/24,ACCEPTED
172679,GUILFORD,OTHER,HISPANIC or LATINO,F,23,GREENSBORO,NC,27407.0,UNA,G60,MAIL,UNA,9/25/24,9/26/24, ,SPOILED-EV
377401,UNION,WHITE,NOT HISPANIC or NOT LATINO,F,50,MONROE,NC,28110.0,UNA,006,MAIL,UNA,10/21/24,10/26/24, ,SPOILED-EV
170385,GUILFORD,WHITE,NOT HISPANIC or NOT LATINO,F,66,HIGH POINT,NC,27265.0,DEM,H19B,MAIL,DEM,8/6/24,9/24/24,10/8/24,ACCEPTED
216952,JOHNSTON,WHITE,NOT HISPANIC or NOT LATINO,F,77,CLAYTON,NC,27520.0,UNA,SOUTHEAST CLEVELAND,MAIL,UNA,10/5/24,10/7/24,10/26/24,ACCEPTED
464670,WILSON,UNDESIGNATED,UNDESIGNATED,F,23,WILSON,NC,27896.0,UNA,OLDFIELDS,MAIL,UNA,10/20/24,10/21/24,11/4/24,ACCEPTED
368869,TRANSYLVANIA,WHITE,NOT HISPANIC or NOT LATINO,F,63,BREVARD,NC,28712.0,UNA,DUNNS ROCK,MAIL,UNA,10/17/24,10/19/24,11/5/24,SPOILED
249364,MECKLENBURG,WHITE,NOT HISPANIC or NOT LATINO,F,72,CHARLOTTE,NC,28270.0,DEM,PCT 091,MAIL,DEM,8/25/24,9/24/24,10/24/24,ACCEPTED
434771,WAKE,WHITE,NOT HISPANIC or NOT LATINO,F,24,RALEIGH,NC,27608.0,UNA,PRECINCT 01-03,MAIL,UNA,8/3/24,9/24/24,11/5/24,WITNESS INFO INCOMPLETE
135937,FORSYTH,BLACK or AFRICAN AMERICAN,UNDESIGNATED,F,84,WINSTON SALEM,NC,27106.0,DEM,904,MAIL,DEM,10/10/24,10/11/24,10/28/24,ACCEPTED
34530,BUNCOMBE,OTHER,NOT HISPANIC or NOT LATINO,M,40,ASHEVILLE,NC,28806.0,UNA,69.1,MAIL,UNA,10/10/24,10/14/24,10/28/24,ACCEPTED
172654,GUILFORD,UNDESIGNATED,UNDESIGNATED,F,30,GREENSBORO,NC,27408.0,DEM,G20,MAIL,DEM,9/23/24,9/30/24,11/4/24,ACCEPTED
104864,DAVIDSON,BLACK or AFRICAN AMERICAN,NOT HISPANIC or NOT LATINO,F,40,THOMASVILLE,NC,27360.0,DEM,THOMASVILLE 2 #62,MAIL,DEM,10/7/24,10/9/24, , 
467002,YADKIN,WHITE,NOT HISPANIC or NOT LATINO,M,63,EAST BEND,NC,27018.0,UNA,EAST BEND,MAIL,UNA,10/22/24,10/22/24,11/1/24,SPOILED
335350,PENDER,WHITE,NOT HISPANIC or NOT LATINO,F,78,HAMPSTEAD,NC,28443.0,REP,SURF CITY,MAIL,REP,9/16/24,10/29/24, , 
336106,PENDER,BLACK or AFRICAN AMERICAN,NOT HISPANIC or NOT LATINO,F,56,WILLARD,NC,28478.0,UNA,COLUMBIA,MAIL,UNA,10/9/24,10/21/24, , 
153060,GASTON,WHITE,UNDESIGNATED,F,60,MOUNT HOLLY,NC,28120.0,UNA,MOUNT HOLLY #2,MAIL,UNA,9/24/24,9/27/24,10/23/24,ACCEPTED
138941,FORSYTH,OTHER,HISPANIC or LATINO,M,56,WINSTON SALEM,NC,27103.0,REP,607,MAIL,REP,9/9/24,9/24/24, , 
74515,CHEROKEE,WHITE,NOT HISPANIC or NOT LATINO,F,90,ANDREWS,NC,28901.0,REP,ANDREWS SOUTH WARD,MAIL,REP,10/16/24,10/16/24,10/28/24,ACCEPTED
87191,CUMBERLAND,BLACK or AFRICAN AMERICAN,NOT HISPANIC or NOT LATINO,M,76,FAYETTEVILLE,NC,28314.0,DEM,LAKE RIM,MAIL,DEM,2/9/24,9/24/24,10/7/24,ACCEPTED
62784,CASWELL,WHITE,NOT HISPANIC or NOT LATINO,F,37,MEBANE,NC,27302.0,DEM,ANDERSON,MAIL,DEM,9/4/24,9/23/24,11/2/24,ACCEPTED
410161,WAKE,WHITE,NOT HISPANIC or NOT LATINO,F,40,RALEIGH,NC,27616.0,UNA,PRECINCT 13-09,MAIL,UNA,2/23/24,9/24/24, ,SPOILED-EV
388803,WAKE,WHITE,NOT HISPANIC or NOT LATINO,F,82,RALEIGH,NC,27607.0,DEM,PRECINCT 01-33,MAIL,DEM,9/5/24,9/24/24, ,SPOILED-EV
279047,MECKLENBURG,WHITE,NOT HISPANIC or NOT LATINO,F,81,CHARLOTTE,NC,28278.0,UNA,PCT 229,MAIL,UNA,7/26/24,9/24/24, , 
7207,ALEXANDER,WHITE,NOT HISPANIC or NOT LATINO,M,31,TAYLORSVILLE,NC,28681.0,DEM,WITTENBURG,MAIL,DEM,9/15/24,9/20/24,10/21/24,ACCEPTED
132677,FORSYTH,WHITE,NOT HISPANIC or NOT LATINO,M,71,KERNERSVILLE,NC,27284.0,REP,13,MAIL,REP,9/23/24,9/24/24, ,SPOILED-EV
236795,MECKLENBURG,WHITE,NOT HISPANIC or NOT LATINO,F,84,MATTHEWS,NC,28105.0,REP,PCT 233,MAIL,REP,2/13/24,9/24/24,10/8/24,ACCEPTED
397466,WAKE,WHITE,NOT HISPANIC or NOT LATINO,F,33,WAKE FOREST,NC,27587.0,DEM,PRECINCT 14-02,MAIL,DEM,10/6/24,10/11/24,10/24/24,ACCEPTED
35020,BUNCOMBE,UNDESIGNATED,UNDESIGNATED,U,74,WEAVERVILLE,NC,28787.0,UNA,71.1,MAIL,UNA,2/6/24,9/24/24, , 
167961,GUILFORD,WHITE,UNDESIGNATED,F,83,GREENSBORO,NC,27407.0,UNA,JAM4,MAIL,UNA,10/16/24,10/17/24,10/23/24,ACCEPTED
273719,MECKLENBURG,UNDESIGNATED,UNDESIGNATED,U,61,CHARLOTTE,NC,28205.0,REP,PCT 046,MAIL,REP,10/19/24,10/22/24,11/5/24,ACCEPTED
220809,LEE,BLACK or AFRICAN AMERICAN,NOT HISPANIC or NOT LATINO,F,21,SANFORD,NC,27332.0,DEM,PRECINCT C1,MAIL,DEM,10/19/24,10/21/24,10/29/24,ACCEPTED
351642,ROCKINGHAM,WHITE,UNDESIGNATED,M,46,MADISON,NC,27025.0,REP,HOGANS,MAIL,REP,4/12/24,9/24/24,10/8/24,ACCEPTED
196655,HENDERSON,WHITE,NOT HISPANIC or NOT LATINO,F,51,HENDERSONVILLE,NC,28739.0,DEM,LAUREL PARK,MAIL,DEM,10/22/24,10/25/24,10/30/24,ACCEPTED
208269,IREDELL,WHITE,NOT HISPANIC or NOT LATINO,F,20,STATESVILLE,NC,28625.0,REP,STATESVILLE #1,MAIL,REP,9/9/24,9/24/24,10/19/24,ACCEPTED
115049,DURHAM,WHITE,UNDESIGNATED,M,34,DURHAM,NC,27712.0,NLB,44,MAIL,NLB,10/15/24,10/16/24, ,SPOILED-EV
405615,WAKE,UNDESIGNATED,UNDESIGNATED,U,31,RALEIGH,NC,27614.0,UNA,PRECINCT 02-03,MAIL,UNA,10/7/24,10/11/24,10/12/24,ACCEPTED
137525,FORSYTH,WHITE,NOT HISPANIC or NOT LATINO,F,63,CLEMMONS,NC,27012.0,REP,55,MAIL,REP,9/28/24,10/1/24, ,SPOILED-EV
444812,WAKE,WHITE,UNDESIGNATED,F,24,CARY,NC,27513.0,DEM,PRECINCT 04-18,MAIL,DEM,8/29/24,9/24/24,11/2/24,ACCEPTED
200848,IREDELL,WHITE,UNDESIGNATED,M,68,MOORESVILLE,NC,28115.0,DEM,DAVIDSON #2B,MAIL,DEM,8/26/24,9/24/24,10/23/24,ACCEPTED
217969,JOHNSTON,WHITE,UNDESIGNATED,F,36,WILLOW SPRINGS,NC,27592.0,UNA,NORTH PLEASANT GROVE 2,MAIL,UNA,8/9/24,9/24/24,10/26/24,ACCEPTED
174149,GUILFORD,WHITE,NOT HISPANIC or NOT LATINO,M,62,GREENSBORO,NC,27455.0,REP,CG3B,MAIL,REP,9/15/24,9/24/24,10/7/24,ACCEPTED
366126,SURRY,WHITE,NOT HISPANIC or NOT LATINO,F,24,PINNACLE,NC,27043.0,REP,PILOT,MAIL,REP,10/24/24,10/24/24,11/2/24,ACCEPTED
212377,JOHNSTON,WHITE,NOT HISPANIC or NOT LATINO,M,43,SMITHFIELD,NC,27577.0,UNA,NORTH SMITHFIELD 2,MAIL,UNA,9/26/24,9/26/24, , 
444850,WAKE,BLACK or AFRICAN AMERICAN,NOT HISPANIC or NOT LATINO,M,25,MORRISVILLE,NC,27560.0,UNA,PRECINCT 05-07,MAIL,UNA,10/9/24,10/14/24,11/4/24,ACCEPTED
329874,ORANGE,WHITE,NOT HISPANIC or NOT LATINO,M,67,CHAPEL HILL,NC,27514.0,UNA,CEDAR FALLS,MAIL,UNA,1/19/24,9/24/24,10/19/24,ACCEPTED
294409,MOORE,UNDESIGNATED,UNDESIGNATED,F,30,PINEHURST,NC,28374.0,DEM,PINEHURST C,MAIL,DEM,9/23/24,9/24/24,9/24/24,ACCEPTED
173127,GUILFORD,WHITE,UNDESIGNATED,F,25,JAMESTOWN,NC,27282.0,DEM,JAM1,MAIL,DEM,8/28/24,9/24/24,10/18/24,ACCEPTED
250491,MECKLENBURG,UNDESIGNATED,UNDESIGNATED,U,23,CHARLOTTE,NC,28227.0,DEM,PCT 234,MAIL,DEM,7/30/24,9/24/24, ,SPOILED-EV
225351,LINCOLN,WHITE,NOT HISPANIC or NOT LATINO,F,72,LINCOLNTON,NC,28092.0,UNA,LITHIA,MAIL,UNA,9/17/24,9/24/24,10/30/24,ACCEPTED
394225,WAKE,WHITE,NOT HISPANIC or NOT LATINO,M,82,RALEIGH,NC,27612.0,UNA,PRECINCT 07-12,MAIL,UNA,10/8/24,10/14/24,11/2/24,ACCEPTED
133776,FORSYTH,WHITE,NOT HISPANIC or NOT LATINO,M,76,WINSTON SALEM,NC,27106.0,UNA,131,MAIL,UNA,8/27/24,9/24/24,10/10/24,ACCEPTED
208883,IREDELL,WHITE,UNDESIGNATED,M,75,STATESVILLE,NC,28677.0,UNA,STATESVILLE #3,MAIL,UNA,8/31/24,9/24/24,10/8/24,ACCEPTED
320601,ONSLOW,INDIAN AMERICAN or ALASKA NATIVE,UNDESIGNATED,F,29,JACKSONVILLE,NC,28546.0,DEM,BM08,MAIL,DEM,10/22/24,10/24/24,11/5/24,ACCEPTED
134994,FORSYTH,WHITE,NOT HISPANIC or NOT LATINO,F,62,WINSTON SALEM,NC,27127.0,UNA,124,MAIL,UNA,1/25/24,9/24/24,10/17/24,ACCEPTED
2151,ALAMANCE,WHITE,NOT HISPANIC or NOT LATINO,F,24,ELON,NC,27244.0,DEM,NORTH BOONE,MAIL,DEM,9/8/24,9/24/24,10/29/24,ACCEPTED
66910,CATAWBA,WHITE,UNDESIGNATED,U,52,SHERRILLS FORD,NC,28673.0,UNA,SHERRILLS FORD,MAIL,UNA,9/16/24,9/18/24,10/20/24,ACCEPTED
438531,WAKE,UNDESIGNATED,UNDESIGNATED,U,21,CARY,NC,27511.0,DEM,PRECINCT 04-02,MAIL,DEM,8/5/24,9/24/24,11/4/24,ACCEPTED
164822,GUILFORD,BLACK or AFRICAN AMERICAN,NOT HISPANIC or NOT LATINO,F,70,GREENSBORO,NC,27410.0,DEM,CG1,MAIL,DEM,8/5/24,9/24/24,10/11/24,ACCEPTED
440913,WAKE,WHITE,UNDESIGNATED,F,28,RALEIGH,NC,27613.0,UNA,PRECINCT 08-02,MAIL,UNA,9/3/24,9/20/24,10/31/24,ACCEPTED
295887,MOORE,UNDESIGNATED,UNDESIGNATED,U,88,CARTHAGE,NC,28327.0,UNA,CARTHAGE,MAIL,UNA,9/24/24,9/25/24,10/16/24,ACCEPTED
147576,FRANKLIN,WHITE,UNDESIGNATED,M,53,LOUISBURG,NC,27549.0,UNA,CYPRESS CREEK,MAIL,UNA,9/11/24,9/24/24, , 
327155,ORANGE,OTHER,HISPANIC or LATINO,M,30,CHAPEL HILL,NC,27517.0,UNA,EASTSIDE,MAIL,UNA,10/11/24,10/12/24,11/4/24,ACCEPTED
20270,BRUNSWICK,WHITE,NOT HISPANIC or NOT LATINO,F,59,SOUTHPORT,NC,28461.0,DEM,SOUTHPORT 2,MAIL,DEM,6/29/24,9/24/24,10/31/24,PENDING CURE
446375,WAKE,WHITE,NOT HISPANIC or NOT LATINO,F,23,RALEIGH,NC,27613.0,REP,PRECINCT 07-12,MAIL,REP,9/1/24,9/24/24,10/17/24,ACCEPTED
294878,MOORE,UNDESIGNATED,UNDESIGNATED,M,28,ABERDEEN,NC,28315.0,REP,EAST ABERDEEN,MAIL,REP,7/9/24,9/20/24, , 
242694,MECKLENBURG,UNDESIGNATED,UNDESIGNATED,U,54,CHARLOTTE,NC,28277.0,DEM,PCT 148,MAIL,DEM,7/29/24,9/24/24,10/1/24,ACCEPTED
93055,CUMBERLAND,OTHER,HISPANIC or LATINO,F,51,HOPE MILLS,NC,28348.0,DEM,PEARCES MILL 2A-G3,MAIL,DEM,8/6/24,9/24/24,10/31/24,ACCEPTED
445201,WAKE,WHITE,NOT HISPANIC or NOT LATINO,F,39,FUQUAY VARINA,NC,27526.0,UNA,PRECINCT 12-09,MAIL,UNA,9/20/24,9/25/24,10/24/24,ACCEPTED
